area,Average_Speed,Vehicle_Density,Hour_of_Day,Day_of_Week,Is_Peak_Hour,Weather_Condition
Hadapsar,28.395378577515263,280.8,5,Thu,0,Clear
Kothrud,33.12794167376781,234.0,5,Thu,0,Clear
Hinjewadi,22.965798799516065,170.0,22,Sun,0,Clear
Swargate,28.70724849939508,209.44000000000003,22,Sun,0,Clear
University Circle,22.965798799516065,190.39999999999998,22,Sun,0,Clear
Hadapsar,34.4486981992741,97.92000000000002,22,Sun,0,Clear
Kothrud,40.19014789915311,127.5,22,Sun,0,Clear
Hinjewadi,37.936736728283435,267.5,4,Thu,0,Clear
Swargate,47.42092091035429,235.4,4,Thu,0,Clear
University Circle,37.936736728283435,299.59999999999997,4,Thu,0,Clear
Hadapsar,56.905105092425146,192.6,4,Thu,0,Clear
Kothrud,66.38928927449601,160.5,4,Thu,0,Clear
Hinjewadi,5.747099378680792,425.0,19,Tue,1,Rainy
Swargate,10.775811335026484,374.00000000000006,19,Tue,1,Rainy
University Circle,4.310324534010594,475.99999999999994,19,Tue,1,Rainy
Hadapsar,10.775811335026484,306.0,19,Tue,1,Rainy
Kothrud,17.60049184720992,255.0,19,Tue,1,Rainy
Hinjewadi,24.686708439087102,280.0,2,Sun,0,Clear
Swargate,30.858385548858877,344.96000000000004,2,Sun,0,Clear
University Circle,24.686708439087102,313.59999999999997,2,Sun,0,Clear
Hadapsar,37.03006265863065,161.28,2,Sun,0,Clear
Kothrud,43.201739768402426,210.0,2,Sun,0,Clear
Hinjewadi,39.47415060843721,330.0,17,Sun,1,Clear
Swargate,49.34268826054652,406.56,17,Sun,1,Clear
University Circle,39.47415060843721,369.59999999999997,17,Sun,1,Clear
Hadapsar,59.21122591265582,190.08,17,Sun,1,Clear
Kothrud,69.07976356476512,247.5,17,Sun,0,Clear
Hinjewadi,19.226211498720502,192.5,19,Mon,1,Clear
Swargate,24.032764373400624,169.4,19,Mon,1,Clear
University Circle,19.226211498720502,215.6,19,Mon,1,Clear
Hadapsar,28.839317248080746,138.6,19,Mon,1,Clear
Kothrud,33.64587012276087,115.5,19,Mon,1,Clear
Hinjewadi,10.550882341993121,472.5,1,Sun,0,Clear
Swargate,13.1886029274914,582.12,1,Sun,0,Clear
University Circle,10.550882341993121,529.1999999999999,1,Sun,0,Clear
Hadapsar,15.82632351298968,272.16,1,Sun,0,Clear
Kothrud,18.46404409848796,354.375,1,Sun,0,Clear
Hinjewadi,37.93550443287986,145.0,22,Thu,0,Clear
Swargate,47.41938054109982,127.60000000000001,22,Thu,0,Clear
University Circle,37.93550443287986,162.39999999999998,22,Thu,0,Clear
Hadapsar,56.90325664931978,104.4,22,Thu,0,Clear
Kothrud,66.38713275753975,87.0,22,Thu,0,Clear
Hinjewadi,8.448464560833825,322.5,1,Thu,0,Clear
Swargate,12.0,283.8,1,Thu,0,Clear
University Circle,8.448464560833825,361.2,1,Thu,0,Clear
Hadapsar,15.0,232.20000000000002,1,Thu,0,Clear
Kothrud,18.0,193.5,1,Thu,0,Clear
Hinjewadi,27.04421359698181,117.5,13,Sat,0,Clear
Swargate,33.80526699622726,103.4,13,Sat,1,Clear
University Circle,27.04421359698181,131.6,13,Sat,0,Clear
Hadapsar,40.56632039547271,67.68,13,Sat,0,Clear
Kothrud,47.32737379471816,88.125,13,Sat,0,Clear
Hinjewadi,18.013425536922323,132.5,18,Tue,1,Clear
Swargate,22.516781921152905,116.60000000000001,18,Tue,1,Clear
University Circle,18.013425536922323,148.39999999999998,18,Tue,1,Clear
Hadapsar,27.020138305383487,95.4,18,Tue,1,Clear
Kothrud,31.523494689614065,79.5,18,Tue,1,Clear
Hinjewadi,37.15585604454264,120.0,2,Mon,0,Clear
Swargate,46.4448200556783,105.60000000000001,2,Mon,0,Clear
University Circle,37.15585604454264,134.39999999999998,2,Mon,0,Clear
Hadapsar,55.73378406681396,86.4,2,Mon,0,Clear
Kothrud,65.02274807794961,72.0,2,Mon,0,Clear
Hinjewadi,15.179996777581563,490.75,20,Fri,1,Rainy
Swargate,28.462493957965428,332.20000000000005,20,Fri,1,Rainy
University Circle,11.384997583186172,422.79999999999995,20,Fri,1,Rainy
Hadapsar,28.462493957965428,271.8,20,Fri,1,Rainy
Kothrud,46.488740131343526,226.5,20,Fri,1,Rainy
Hinjewadi,38.05019134240933,513.5,21,Fri,1,Clear
Swargate,47.56273917801166,347.6,21,Fri,1,Clear
University Circle,38.05019134240933,442.4,21,Fri,1,Clear
Hadapsar,57.075287013613995,284.40000000000003,21,Fri,0,Clear
Kothrud,66.58783484921632,237.0,21,Fri,1,Clear
Hinjewadi,16.09924925374748,237.5,3,Tue,0,Clear
Swargate,20.12406156718435,209.00000000000003,3,Tue,0,Clear
University Circle,16.09924925374748,266.0,3,Tue,0,Clear
Hadapsar,24.148873880621217,171.0,3,Tue,0,Clear
Kothrud,28.173686194058085,142.5,3,Tue,0,Clear
Hinjewadi,24.0543733122056,460.0,17,Sat,1,Clear
Swargate,30.067966640256994,404.8,17,Sat,1,Clear
University Circle,24.0543733122056,515.1999999999999,17,Sat,1,Clear
Hadapsar,36.08155996830839,264.96,17,Sat,1,Clear
Kothrud,42.09515329635979,345.0,17,Sat,0,Clear
Hinjewadi,34.8317386829768,177.5,11,Thu,1,Foggy
Swargate,43.53967335372099,156.20000000000002,11,Thu,1,Foggy
University Circle,34.8317386829768,198.79999999999998,11,Thu,1,Foggy
Hadapsar,52.24760802446519,127.8,11,Thu,1,Foggy
Kothrud,60.95554269520939,106.5,11,Thu,1,Foggy
Hinjewadi,29.181236244384365,182.5,23,Sun,0,Foggy
Swargate,36.47654530548046,224.84,23,Sun,0,Foggy
University Circle,29.181236244384365,204.39999999999998,23,Sun,0,Foggy
Hadapsar,43.77185436657655,105.12,23,Sun,0,Foggy
Kothrud,51.06716342767264,136.875,23,Sun,0,Foggy
Hinjewadi,9.215849832421588,227.5,19,Mon,1,Rainy
Swargate,17.27971843579048,200.20000000000002,19,Mon,1,Rainy
University Circle,6.9118873743161915,254.79999999999998,19,Mon,1,Rainy
Hadapsar,17.27971843579048,163.8,19,Mon,1,Rainy
Kothrud,28.223540111791113,136.5,19,Mon,1,Rainy
Hinjewadi,30.31070022110838,402.5,7,Tue,0,Clear
Swargate,37.888375276385474,354.20000000000005,7,Tue,0,Clear
University Circle,30.31070022110838,450.79999999999995,7,Tue,0,Clear
Hadapsar,45.466050331662565,289.8,7,Tue,0,Clear
Kothrud,53.04372538693966,241.5,7,Tue,0,Clear
Hinjewadi,34.70266409139509,425.0,4,Tue,0,Clear
Swargate,43.378330114243866,374.00000000000006,4,Tue,0,Clear
University Circle,34.70266409139509,475.99999999999994,4,Tue,0,Clear
Hadapsar,52.05399613709264,306.0,4,Tue,0,Clear
Kothrud,60.729662159941405,255.0,4,Tue,0,Clear
Hinjewadi,6.071277553325137,165.0,13,Wed,0,Rainy
Swargate,11.383645412484631,145.20000000000002,13,Wed,1,Rainy
University Circle,4.553458164993852,184.79999999999998,13,Wed,0,Rainy
Hadapsar,11.383645412484631,118.8,13,Wed,0,Rainy
Kothrud,18.59328750705823,99.0,13,Wed,0,Rainy
Hinjewadi,8.691998327074126,373.75,5,Fri,0,Rainy
Swargate,16.297496863263984,253.00000000000003,5,Fri,0,Rainy
University Circle,6.518998745305594,322.0,5,Fri,0,Rainy
Hadapsar,16.297496863263984,207.0,5,Fri,0,Rainy
Kothrud,26.619244876664503,172.5,5,Fri,0,Rainy
Hinjewadi,16.577509996116408,112.5,18,Sat,1,Foggy
Swargate,20.72188749514551,99.00000000000001,18,Sat,1,Foggy
University Circle,16.577509996116408,125.99999999999999,18,Sat,1,Foggy
Hadapsar,24.86626499417461,64.8,18,Sat,1,Foggy
Kothrud,29.01064249320371,84.375,18,Sat,1,Foggy
Hinjewadi,13.987976653136057,552.5,5,Fri,0,Foggy
Swargate,17.48497081642007,374.00000000000006,5,Fri,0,Foggy
University Circle,13.987976653136057,475.99999999999994,5,Fri,0,Foggy
Hadapsar,20.981964979704085,306.0,5,Fri,0,Foggy
Kothrud,24.478959142988096,255.0,5,Fri,0,Foggy
Hinjewadi,15.587346755450396,352.5,8,Thu,1,Rainy
Swargate,29.226275166469488,310.20000000000005,8,Thu,0,Rainy
University Circle,11.690510066587796,394.79999999999995,8,Thu,1,Rainy
Hadapsar,29.226275166469488,253.8,8,Thu,0,Rainy
Kothrud,47.73624943856683,211.5,8,Thu,0,Rainy
Hinjewadi,14.203618173980567,185.0,3,Sun,0,Clear
Swargate,17.75452271747571,227.92,3,Sun,0,Clear
University Circle,14.203618173980567,207.2,3,Sun,0,Clear
Hadapsar,21.30542726097085,106.56000000000002,3,Sun,0,Clear
Kothrud,24.85633180446599,138.75,3,Sun,0,Clear
Hinjewadi,5.730435879865441,150.0,19,Mon,1,Rainy
Swargate,10.7445672747477,132.0,19,Mon,1,Rainy
University Circle,4.29782690989908,168.0,19,Mon,1,Rainy
Hadapsar,10.7445672747477,108.0,19,Mon,1,Rainy
Kothrud,17.54945988208791,90.0,19,Mon,1,Rainy
Hinjewadi,8.70839262322013,430.0,12,Sat,0,Rainy
Swargate,16.32823616853774,378.40000000000003,12,Sat,1,Rainy
University Circle,6.531294467415097,481.59999999999997,12,Sat,1,Rainy
Hadapsar,16.32823616853774,247.68000000000004,12,Sat,0,Rainy
Kothrud,26.66945240861164,322.5,12,Sat,0,Rainy
Hinjewadi,35.18228499922354,385.0,9,Tue,1,Clear
Swargate,43.97785624902942,338.8,9,Tue,1,Clear
University Circle,35.18228499922354,431.2,9,Tue,1,Clear
Hadapsar,52.773427498835304,277.2,9,Tue,1,Clear
Kothrud,61.568998748641185,231.0,9,Tue,1,Clear
Hinjewadi,15.626790740095906,202.5,22,Sat,0,Clear
Swargate,19.53348842511988,178.20000000000002,22,Sat,0,Clear
University Circle,15.626790740095906,226.79999999999998,22,Sat,0,Clear
Hadapsar,23.440186110143856,116.64000000000001,22,Sat,0,Clear
Kothrud,27.34688379516783,151.875,22,Sat,0,Clear
Hinjewadi,21.15016167520352,320.0,20,Sun,1,Clear
Swargate,26.4377020940044,394.24,20,Sun,1,Clear
University Circle,21.15016167520352,358.4,20,Sun,1,Clear
Hadapsar,31.72524251280528,184.32000000000002,20,Sun,1,Clear
Kothrud,37.01278293160616,240.0,20,Sun,1,Clear
Hinjewadi,19.50961795913817,362.5,20,Tue,1,Clear
Swargate,24.38702244892271,319.0,20,Tue,1,Clear
University Circle,19.50961795913817,406.0,20,Tue,1,Clear
Hadapsar,29.264426938707253,261.0,20,Tue,1,Clear
Kothrud,34.14183142849179,217.5,20,Tue,1,Clear
Hinjewadi,26.994408141257534,152.5,21,Mon,1,Foggy
Swargate,33.743010176571914,134.20000000000002,21,Mon,1,Foggy
University Circle,26.994408141257534,170.79999999999998,21,Mon,1,Foggy
Hadapsar,40.4916122118863,109.8,21,Mon,0,Foggy
Kothrud,47.240214247200676,91.5,21,Mon,1,Foggy
Hinjewadi,25.179492688083787,211.25,8,Fri,1,Foggy
Swargate,31.474365860104733,143.0,8,Fri,0,Foggy
University Circle,25.179492688083787,182.0,8,Fri,1,Foggy
Hadapsar,37.769239032125675,117.0,8,Fri,0,Foggy
Kothrud,44.064112204146625,97.5,8,Fri,0,Foggy
Hinjewadi,31.210444503548104,305.0,20,Mon,1,Foggy
Swargate,39.01305562943513,268.40000000000003,20,Mon,1,Foggy
University Circle,31.210444503548104,341.59999999999997,20,Mon,1,Foggy
Hadapsar,46.815666755322155,219.6,20,Mon,1,Foggy
Kothrud,54.61827788120918,183.0,20,Mon,1,Foggy
Hinjewadi,14.40171031835075,30.0,13,Thu,0,Rainy
Swargate,27.00320684690765,26.400000000000002,13,Thu,1,Rainy
University Circle,10.801282738763062,33.599999999999994,13,Thu,0,Rainy
Hadapsar,27.00320684690765,21.6,13,Thu,0,Rainy
Kothrud,44.10523784994916,18.0,13,Thu,0,Rainy
Hinjewadi,15.466650324778454,357.5,21,Thu,1,Clear
Swargate,19.333312905973067,314.6,21,Thu,1,Clear
University Circle,15.466650324778454,400.4,21,Thu,1,Clear
Hadapsar,23.19997548716768,257.40000000000003,21,Thu,0,Clear
Kothrud,27.06663806836229,214.5,21,Thu,1,Clear
Hinjewadi,16.6618753376554,117.5,2,Mon,0,Foggy
Swargate,20.827344172069246,103.4,2,Mon,0,Foggy
University Circle,16.6618753376554,131.6,2,Mon,0,Foggy
Hadapsar,24.992813006483093,84.60000000000001,2,Mon,0,Foggy
Kothrud,29.158281840896944,70.5,2,Mon,0,Foggy
Hinjewadi,38.95267809184953,317.5,4,Thu,0,Clear
Swargate,48.69084761481191,279.40000000000003,4,Thu,0,Clear
University Circle,38.95267809184953,355.59999999999997,4,Thu,0,Clear
Hadapsar,58.42901713777429,228.6,4,Thu,0,Clear
Kothrud,68.16718666073666,190.5,4,Thu,0,Clear
Hinjewadi,12.576035925303245,110.5,12,Fri,0,Clear
Swargate,15.720044906629056,74.80000000000001,12,Fri,1,Clear
University Circle,12.576035925303245,95.19999999999999,12,Fri,1,Clear
Hadapsar,18.864053887954867,61.2,12,Fri,0,Clear
Kothrud,22.00806286928068,51.0,12,Fri,0,Clear
Hinjewadi,38.465998292448084,380.0,12,Sun,0,Clear
Swargate,48.0824978655601,468.16,12,Sun,1,Clear
University Circle,38.465998292448084,425.59999999999997,12,Sun,1,Clear
Hadapsar,57.698997438672116,218.88000000000002,12,Sun,0,Clear
Kothrud,67.31549701178413,285.0,12,Sun,0,Clear
Hinjewadi,36.20025816841637,255.0,3,Mon,0,Clear
Swargate,45.25032271052046,224.4,3,Mon,0,Clear
University Circle,36.20025816841637,285.59999999999997,3,Mon,0,Clear
Hadapsar,54.300387252624546,183.6,3,Mon,0,Clear
Kothrud,63.350451794728635,153.0,3,Mon,0,Clear
Hinjewadi,26.580647229108294,192.5,10,Thu,1,Clear
Swargate,33.225809036385364,169.4,10,Thu,1,Clear
University Circle,26.580647229108294,215.6,10,Thu,1,Clear
Hadapsar,39.870970843662434,138.6,10,Thu,1,Clear
Kothrud,46.516132650939504,115.5,10,Thu,1,Clear
Hinjewadi,4.606247855882023,50.0,3,Sun,0,Rainy
Swargate,8.636714729778792,61.599999999999994,3,Sun,0,Rainy
University Circle,3.4546858919115166,56.0,3,Sun,0,Rainy
Hadapsar,8.636714729778792,28.8,3,Sun,0,Rainy
Kothrud,14.106634058638692,37.5,3,Sun,0,Rainy
Hinjewadi,37.327652835696455,290.0,4,Mon,0,Clear
Swargate,46.65956604462057,255.20000000000002,4,Mon,0,Clear
University Circle,37.327652835696455,324.79999999999995,4,Mon,0,Clear
Hadapsar,55.99147925354468,208.8,4,Mon,0,Clear
Kothrud,65.32339246246879,174.0,4,Mon,0,Clear
Hinjewadi,12.310051913549424,142.5,8,Tue,1,Rainy
Swargate,23.081347337905168,125.4,8,Tue,0,Rainy
University Circle,9.232538935162067,159.6,8,Tue,1,Rainy
Hadapsar,23.081347337905168,102.60000000000001,8,Tue,0,Rainy
Kothrud,37.699533985245104,85.5,8,Tue,0,Rainy
Hinjewadi,16.756493371544693,465.0,8,Wed,1,Clear
Swargate,20.945616714430866,409.20000000000005,8,Wed,0,Clear
University Circle,16.756493371544693,520.8,8,Wed,1,Clear
Hadapsar,25.13474005731704,334.8,8,Wed,0,Clear
Kothrud,29.32386340020321,279.0,8,Wed,0,Clear
Hinjewadi,23.744055341826652,325.0,17,Tue,1,Foggy
Swargate,29.68006917728331,286.0,17,Tue,1,Foggy
University Circle,23.744055341826652,364.0,17,Tue,1,Foggy
Hadapsar,35.61608301273997,234.0,17,Tue,1,Foggy
Kothrud,41.55209684819663,195.0,17,Tue,0,Foggy
Hinjewadi,14.013452186090337,437.5,17,Thu,1,Clear
Swargate,17.51681523261292,385.00000000000006,17,Thu,1,Clear
University Circle,14.013452186090337,489.99999999999994,17,Thu,1,Clear
Hadapsar,21.020178279135504,315.0,17,Thu,1,Clear
Kothrud,24.523541325658087,262.5,17,Thu,0,Clear
Hinjewadi,18.95664394546751,197.5,12,Wed,0,Foggy
Swargate,23.695804931834385,173.8,12,Wed,1,Foggy
University Circle,18.95664394546751,221.2,12,Wed,1,Foggy
Hadapsar,28.43496591820126,142.20000000000002,12,Wed,0,Foggy
Kothrud,33.17412690456813,118.5,12,Wed,0,Foggy
Hinjewadi,14.484244292330983,633.75,6,Fri,0,Clear
Swargate,18.105305365413727,429.00000000000006,6,Fri,0,Clear
University Circle,14.484244292330983,546.0,6,Fri,0,Clear
Hadapsar,21.726366438496473,351.0,6,Fri,0,Clear
Kothrud,25.347427511579216,292.5,6,Fri,0,Clear
Hinjewadi,30.308345788537896,32.5,21,Sat,1,Clear
Swargate,37.88543223567237,28.6,21,Sat,1,Clear
University Circle,30.308345788537896,36.4,21,Sat,1,Clear
Hadapsar,45.46251868280684,18.720000000000002,21,Sat,0,Clear
Kothrud,53.039605129941314,24.375,21,Sat,1,Clear
Hinjewadi,37.364712892941874,352.5,15,Sat,0,Clear
Swargate,46.70589111617734,310.20000000000005,15,Sat,0,Clear
University Circle,37.364712892941874,394.79999999999995,15,Sat,0,Clear
Hadapsar,56.04706933941281,203.04000000000002,15,Sat,0,Clear
Kothrud,65.38824756264827,264.375,15,Sat,0,Clear
Hinjewadi,12.186975412656546,482.5,2,Wed,0,Rainy
Swargate,22.850578898731023,424.6,2,Wed,0,Rainy
University Circle,9.140231559492408,540.4,2,Wed,0,Rainy
Hadapsar,22.850578898731023,347.40000000000003,2,Wed,0,Rainy
Kothrud,37.32261220126067,289.5,2,Wed,0,Rainy
Hinjewadi,14.666092480272575,90.0,15,Tue,0,Clear
Swargate,18.332615600340716,79.2,15,Tue,0,Clear
University Circle,14.666092480272575,100.8,15,Tue,0,Clear
Hadapsar,21.999138720408858,64.8,15,Tue,0,Clear
Kothrud,25.665661840477,54.0,15,Tue,0,Clear
Hinjewadi,15.7537430321773,322.5,17,Wed,1,Rainy
Swargate,29.538268185332434,283.8,17,Wed,1,Rainy
University Circle,11.815307274132975,361.2,17,Wed,1,Rainy
Hadapsar,29.538268185332434,232.20000000000002,17,Wed,1,Rainy
Kothrud,48.24583803604297,193.5,17,Wed,0,Rainy
Hinjewadi,14.730193801145397,387.5,22,Mon,0,Clear
Swargate,18.412742251431744,341.0,22,Mon,0,Clear
University Circle,14.730193801145397,434.0,22,Mon,0,Clear
Hadapsar,22.095290701718092,279.0,22,Mon,0,Clear
Kothrud,25.77783915200444,232.5,22,Mon,0,Clear
Hinjewadi,15.429736850407267,320.0,6,Thu,0,Rainy
Swargate,28.930756594513618,281.6,6,Thu,0,Rainy
University Circle,11.57230263780545,358.4,6,Thu,0,Rainy
Hadapsar,28.930756594513618,230.4,6,Thu,0,Rainy
Kothrud,47.25356910437224,192.0,6,Thu,0,Rainy
Hinjewadi,27.24972413759437,142.5,7,Mon,0,Foggy
Swargate,34.06215517199296,125.4,7,Mon,0,Foggy
University Circle,27.24972413759437,159.6,7,Mon,0,Foggy
Hadapsar,40.874586206391555,102.60000000000001,7,Mon,0,Foggy
Kothrud,47.68701724079015,85.5,7,Mon,0,Foggy
Hinjewadi,14.527827315500396,410.0,6,Sat,0,Clear
Swargate,18.159784144375493,360.8,6,Sat,0,Clear
University Circle,14.527827315500396,459.2,6,Sat,0,Clear
Hadapsar,21.79174097325059,236.16,6,Sat,0,Clear
Kothrud,25.423697802125687,307.5,6,Sat,0,Clear
Hinjewadi,17.84946661378386,372.5,3,Mon,0,Clear
Swargate,22.311833267229826,327.8,3,Mon,0,Clear
University Circle,17.84946661378386,417.2,3,Mon,0,Clear
Hadapsar,26.77419992067579,268.2,3,Mon,0,Clear
Kothrud,31.236566574121753,223.5,3,Mon,0,Clear
Hinjewadi,37.2412302039443,467.5,23,Sun,0,Clear
Swargate,46.55153775493037,575.96,23,Sun,0,Clear
University Circle,37.2412302039443,523.6,23,Sun,0,Clear
Hadapsar,55.86184530591645,269.28000000000003,23,Sun,0,Clear
Kothrud,65.17215285690251,350.625,23,Sun,0,Clear
Hinjewadi,27.93452941386822,536.25,6,Fri,0,Clear
Swargate,34.91816176733527,363.00000000000006,6,Fri,0,Clear
University Circle,27.93452941386822,461.99999999999994,6,Fri,0,Clear
Hadapsar,41.90179412080232,297.0,6,Fri,0,Clear
Kothrud,48.88542647426937,247.5,6,Fri,0,Clear
Hinjewadi,7.083334958452905,280.0,10,Thu,1,Rainy
Swargate,13.281253047099197,246.40000000000003,10,Thu,1,Rainy
University Circle,5.312501218839678,313.59999999999997,10,Thu,1,Rainy
Hadapsar,13.281253047099197,201.6,10,Thu,1,Rainy
Kothrud,21.692713310262018,168.0,10,Thu,1,Rainy
Hinjewadi,13.232125983796573,332.5,7,Thu,0,Rainy
Swargate,24.810236219618574,292.6,7,Thu,0,Rainy
University Circle,9.924094487847428,372.4,7,Thu,0,Rainy
Hadapsar,24.810236219618574,239.4,7,Thu,0,Rainy
Kothrud,40.523385825377,199.5,7,Thu,0,Rainy
Hinjewadi,26.46341159736582,157.5,22,Sun,0,Clear
Swargate,33.079264496707275,194.04000000000002,22,Sun,0,Clear
University Circle,26.46341159736582,176.39999999999998,22,Sun,0,Clear
Hadapsar,39.69511739604873,90.72000000000001,22,Sun,0,Clear
Kothrud,46.310970295390185,118.125,22,Sun,0,Clear
Hinjewadi,16.60152368096634,492.5,0,Thu,0,Foggy
Swargate,20.751904601207926,433.40000000000003,0,Thu,0,Foggy
University Circle,16.60152368096634,551.5999999999999,0,Thu,0,Foggy
Hadapsar,24.90228552144951,354.6,0,Thu,0,Foggy
Kothrud,29.052666441691095,295.5,0,Thu,0,Foggy
Hinjewadi,20.01028306473644,265.0,20,Tue,1,Clear
Swargate,25.01285383092055,233.20000000000002,20,Tue,1,Clear
University Circle,20.01028306473644,296.79999999999995,20,Tue,1,Clear
Hadapsar,30.015424597104662,190.8,20,Tue,1,Clear
Kothrud,35.01799536328877,159.0,20,Tue,1,Clear
Hinjewadi,4.735397654156414,327.5,2,Mon,0,Rainy
Swargate,8.878870601543275,288.20000000000005,2,Mon,0,Rainy
University Circle,3.55154824061731,366.79999999999995,2,Mon,0,Rainy
Hadapsar,8.878870601543275,235.8,2,Mon,0,Rainy
Kothrud,14.502155315854013,196.5,2,Mon,0,Rainy
Hinjewadi,25.549413215794004,500.5,13,Fri,0,Clear
Swargate,31.936766519742505,338.8,13,Fri,1,Clear
University Circle,25.549413215794004,431.2,13,Fri,0,Clear
Hadapsar,38.32411982369101,277.2,13,Fri,0,Clear
Kothrud,44.71147312763951,231.0,13,Fri,0,Clear
Hinjewadi,10.396666944063481,27.5,12,Thu,0,Clear
Swargate,12.99583368007935,24.200000000000003,12,Thu,1,Clear
University Circle,10.396666944063481,30.799999999999997,12,Thu,1,Clear
Hadapsar,15.59500041609522,19.8,12,Thu,0,Clear
Kothrud,18.19416715211109,16.5,12,Thu,0,Clear
Hinjewadi,20.040298538573502,145.0,11,Thu,1,Clear
Swargate,25.050373173216876,127.60000000000001,11,Thu,1,Clear
University Circle,20.040298538573502,162.39999999999998,11,Thu,1,Clear
Hadapsar,30.06044780786025,104.4,11,Thu,1,Clear
Kothrud,35.07052244250362,87.0,11,Thu,1,Clear
Hinjewadi,13.826596919625755,182.5,1,Mon,0,Rainy
Swargate,25.924869224298288,160.60000000000002,1,Mon,0,Rainy
University Circle,10.369947689719316,204.39999999999998,1,Mon,0,Rainy
Hadapsar,25.924869224298288,131.4,1,Mon,0,Rainy
Kothrud,42.34395306635387,109.5,1,Mon,0,Rainy
Hinjewadi,18.910674285937866,523.25,19,Fri,1,Clear
Swargate,23.63834285742233,354.20000000000005,19,Fri,1,Clear
University Circle,18.910674285937866,450.79999999999995,19,Fri,1,Clear
Hadapsar,28.366011428906795,289.8,19,Fri,1,Clear
Kothrud,33.09368000039126,241.5,19,Fri,1,Clear
Hinjewadi,12.69424364848581,287.5,5,Mon,0,Clear
Swargate,15.867804560607262,253.00000000000003,5,Mon,0,Clear
University Circle,12.69424364848581,322.0,5,Mon,0,Clear
Hadapsar,19.041365472728714,207.0,5,Mon,0,Clear
Kothrud,22.214926384850166,172.5,5,Mon,0,Clear
Hinjewadi,35.947555770926016,410.0,17,Wed,1,Clear
Swargate,44.93444471365752,360.8,17,Wed,1,Clear
University Circle,35.947555770926016,459.2,17,Wed,1,Clear
Hadapsar,53.921333656389024,295.2,17,Wed,1,Clear
Kothrud,62.90822259912052,246.0,17,Wed,0,Clear
Hinjewadi,18.490970812346184,191.75,8,Fri,1,Foggy
Swargate,23.11371351543273,129.8,8,Fri,0,Foggy
University Circle,18.490970812346184,165.2,8,Fri,1,Foggy
Hadapsar,27.736456218519272,106.2,8,Fri,0,Foggy
Kothrud,32.35919892160582,88.5,8,Fri,0,Foggy
Hinjewadi,3.774864627143883,132.5,12,Thu,0,Rainy
Swargate,7.199999999999999,116.60000000000001,12,Thu,1,Rainy
University Circle,2.831148470357912,148.39999999999998,12,Thu,1,Rainy
Hadapsar,7.5,95.4,12,Thu,0,Rainy
Kothrud,12.6,79.5,12,Thu,0,Rainy
Hinjewadi,9.261362723851617,455.0,9,Thu,1,Clear
Swargate,12.0,400.40000000000003,9,Thu,1,Clear
University Circle,9.261362723851617,509.59999999999997,9,Thu,1,Clear
Hadapsar,15.0,327.6,9,Thu,1,Clear
Kothrud,18.0,273.0,9,Thu,1,Clear
Hinjewadi,5.146221663033496,182.5,11,Sun,1,Rainy
Swargate,9.649165618187803,224.84,11,Sun,1,Rainy
University Circle,3.8596662472751215,204.39999999999998,11,Sun,1,Rainy
Hadapsar,9.649165618187803,105.12,11,Sun,1,Rainy
Kothrud,15.760303843040079,136.875,11,Sun,1,Rainy
Hinjewadi,19.756503318306258,190.0,2,Wed,0,Clear
Swargate,24.69562914788282,167.20000000000002,2,Wed,0,Clear
University Circle,19.756503318306258,212.79999999999998,2,Wed,0,Clear
Hadapsar,29.63475497745938,136.8,2,Wed,0,Clear
Kothrud,34.57388080703594,114.0,2,Wed,0,Clear
Hinjewadi,34.33548176133656,340.0,2,Sat,0,Clear
Swargate,42.9193522016707,299.20000000000005,2,Sat,0,Clear
University Circle,34.33548176133656,380.79999999999995,2,Sat,0,Clear
Hadapsar,51.503222642004836,195.84000000000003,2,Sat,0,Clear
Kothrud,60.087093082338974,255.0,2,Sat,0,Clear
Hinjewadi,9.67293130460031,392.5,18,Tue,1,Clear
Swargate,12.091164130750386,345.40000000000003,18,Tue,1,Clear
University Circle,9.67293130460031,439.59999999999997,18,Tue,1,Clear
Hadapsar,15.0,282.6,18,Tue,1,Clear
Kothrud,18.0,235.5,18,Tue,1,Clear
Hinjewadi,17.91321149469118,477.5,13,Mon,0,Foggy
Swargate,22.39151436836397,420.20000000000005,13,Mon,1,Foggy
University Circle,17.91321149469118,534.8,13,Mon,0,Foggy
Hadapsar,26.869817242036763,343.8,13,Mon,0,Foggy
Kothrud,31.34812011570956,286.5,13,Mon,0,Foggy
Hinjewadi,8.706116757833307,482.5,17,Thu,1,Clear
Swargate,12.0,424.6,17,Thu,1,Clear
University Circle,8.706116757833307,540.4,17,Thu,1,Clear
Hadapsar,15.0,347.40000000000003,17,Thu,1,Clear
Kothrud,18.0,289.5,17,Thu,0,Clear
Hinjewadi,15.263313263088671,375.0,10,Wed,1,Clear
Swargate,19.07914157886084,330.0,10,Wed,1,Clear
University Circle,15.263313263088671,420.0,10,Wed,1,Clear
Hadapsar,22.894969894633004,270.0,10,Wed,1,Clear
Kothrud,26.710798210405173,225.0,10,Wed,1,Clear
Hinjewadi,27.303853525888954,55.25,5,Fri,0,Clear
Swargate,34.12981690736119,37.400000000000006,5,Fri,0,Clear
University Circle,27.303853525888954,47.599999999999994,5,Fri,0,Clear
Hadapsar,40.955780288833424,30.6,5,Fri,0,Clear
Kothrud,47.78174367030566,25.5,5,Fri,0,Clear
